"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年02月21日"

"","","","","/項目 コード","F1102","F1107"
"調査年 コード","調査年","地域 コード","地域","/項目","F1102_就業者数【人】","F1107_完全失業者数【人】"
"1985100000","1985年度","03000","岩手県","","729,651","23,918"
"1985100000","1985年度","04000","宮城県","","1,035,245","34,743"
"1985100000","1985年度","05000","秋田県","","619,086","20,632"
"1985100000","1985年度","06000","山形県","","652,606","14,231"
"1985100000","1985年度","07000","福島県","","1,046,626","30,234"
"1985100000","1985年度","08000","茨城県","","1,325,340","33,650"
"1985100000","1985年度","09000","栃木県","","938,505","22,034"
"1985100000","1985年度","10000","群馬県","","960,063","25,062"
"1985100000","1985年度","11000","埼玉県","","2,775,212","79,421"
"1985100000","1985年度","12000","千葉県","","2,416,727","70,519"
"1985100000","1985年度","13000","東京都","","6,005,485","223,685"
"1985100000","1985年度","14000","神奈川県","","3,543,595","113,633"
"1985100000","1985年度","15000","新潟県","","1,262,944","29,652"
"1985100000","1985年度","16000","富山県","","579,923","12,598"
"1985100000","1985年度","17000","石川県","","582,600","14,398"
"1985100000","1985年度","18000","福井県","","433,894","8,823"
"1985100000","1985年度","19000","山梨県","","418,584","10,702"
"1985100000","1985年度","20000","長野県","","1,147,695","19,257"
"1985100000","1985年度","21000","岐阜県","","1,030,647","21,355"
"1985100000","1985年度","22000","静岡県","","1,839,532","47,985"
"1985100000","1985年度","23000","愛知県","","3,231,127","82,332"
"1985100000","1985年度","24000","三重県","","851,383","23,485"
"1985100000","1985年度","25000","滋賀県","","555,535","11,795"
"1985100000","1985年度","26000","京都府","","1,219,639","43,422"
"1985100000","1985年度","27000","大阪府","","4,008,953","188,741"
"1985100000","1985年度","28000","兵庫県","","2,400,684","93,635"
"1985100000","1985年度","29000","奈良県","","566,057","16,883"
"1985100000","1985年度","30000","和歌山県","","497,049","21,408"
"1985100000","1985年度","31000","鳥取県","","321,539","9,365"
"1985100000","1985年度","32000","島根県","","414,268","9,172"
"1985100000","1985年度","33000","岡山県","","937,529","28,859"
"1985100000","1985年度","34000","広島県","","1,363,685","43,205"
"1985100000","1985年度","35000","山口県","","767,544","26,112"
"1985100000","1985年度","36000","徳島県","","398,428","20,012"
"1985100000","1985年度","37000","香川県","","501,626","17,005"
"1985100000","1985年度","38000","愛媛県","","719,645","30,453"
"1985100000","1985年度","39000","高知県","","403,909","23,859"
"1985100000","1985年度","40000","福岡県","","2,071,541","124,248"
"1985100000","1985年度","41000","佐賀県","","419,636","15,096"
"1985100000","1985年度","42000","長崎県","","701,157","31,936"
"1985100000","1985年度","43000","熊本県","","861,973","35,563"
"1985100000","1985年度","44000","大分県","","579,143","24,357"
"1985100000","1985年度","45000","宮崎県","","557,801","24,349"
"1985100000","1985年度","46000","鹿児島県","","841,479","35,102"
"1985100000","1985年度","47000","沖縄県","","478,576","39,543"
"1980100000","1980年度","01000","北海道","","2,598,312","70,477"
"1980100000","1980年度","02000","青森県","","722,131","24,918"
"1980100000","1980年度","03000","岩手県","","723,158","15,772"
"1980100000","1980年度","04000","宮城県","","988,719","21,655"
"1980100000","1980年度","05000","秋田県","","624,475","15,111"
"1980100000","1980年度","06000","山形県","","648,992","10,719"
"1980100000","1980年度","07000","福島県","","1,027,123","21,824"
"1980100000","1980年度","08000","茨城県","","1,241,868","21,581"
"1980100000","1980年度","09000","栃木県","","894,936","16,078"
"1980100000","1980年度","10000","群馬県","","920,872","16,887"
