"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年10月31日"

"","","","","/項目 コード","C610101","C610102","C610103","C610105","C610106","C610107","C6301"
"調査年 コード","調査年","地域 コード","地域","/項目","C610101_売上金額（民営）（農林漁業）【百万円】","C610102_売上金額（民営）（農業、林業）【百万円】","C610103_売上金額（民営）（漁業）【百万円】","C610105_売上金額（民営）（鉱業、採石業、砂利採取業）【百万円】","C610106_売上金額（民営）（建設業）【百万円】","C610107_売上金額（民営）（製造業）【百万円】","C6301_売上高（サービス産業）【百万円】"
"2014100000","2014年度","39000","高知県","","***","***","***","***","***","***","1,108,986"
"2014100000","2014年度","40000","福岡県","","***","***","***","***","***","***","11,149,429"
"2014100000","2014年度","41000","佐賀県","","***","***","***","***","***","***","1,404,983"
"2014100000","2014年度","42000","長崎県","","***","***","***","***","***","***","2,125,263"
"2014100000","2014年度","43000","熊本県","","***","***","***","***","***","***","2,640,130"
"2014100000","2014年度","44000","大分県","","***","***","***","***","***","***","1,809,045"
"2014100000","2014年度","45000","宮崎県","","***","***","***","***","***","***","1,603,284"
"2014100000","2014年度","46000","鹿児島県","","***","***","***","***","***","***","2,534,636"
"2014100000","2014年度","47000","沖縄県","","***","***","***","***","***","***","1,973,670"
"2013100000","2013年度","01000","北海道","","530,494","456,950","73,544","72,102","3,807,955","6,504,034","9,799,127"
"2013100000","2013年度","02000","青森県","","119,327","104,111","15,215","7,935","1,023,381","1,604,211","1,983,353"
"2013100000","2013年度","03000","岩手県","","120,227","107,305","12,922","10,078","826,691","2,354,762","2,124,036"
"2013100000","2013年度","04000","宮城県","","83,164","62,375","20,789","8,009","2,787,339","3,831,149","4,818,967"
"2013100000","2013年度","05000","秋田県","","57,968","57,079","889","30,201","581,187","1,108,463","1,466,181"
"2013100000","2013年度","06000","山形県","","43,425","42,199","1,226","3,521","666,175","2,485,238","1,684,744"
"2013100000","2013年度","07000","福島県","","65,917","57,642","8,276","7,734","1,403,381","4,987,488","3,078,210"
"2013100000","2013年度","08000","茨城県","","114,521","101,102","13,419","7,289","1,563,633","11,591,942","5,312,391"
"2013100000","2013年度","09000","栃木県","","70,079","69,181","898","9,615","1,135,378","8,243,658","3,530,719"
"2013100000","2013年度","10000","群馬県","","89,456","X","X","3,279","1,231,530","8,333,966","3,581,816"
"2013100000","2013年度","11000","埼玉県","","45,663","45,349","314","7,421","4,758,577","12,200,990","12,369,795"
"2013100000","2013年度","12000","千葉県","","120,521","112,539","7,983","46,360","3,002,347","13,279,125","12,194,184"
"2013100000","2013年度","13000","東京都","","38,008","34,587","3,421","739,931","16,062,870","9,852,865","72,206,582"
"2013100000","2013年度","14000","神奈川県","","91,213","85,301","5,912","8,277","4,591,206","18,266,529","18,404,847"
"2013100000","2013年度","15000","新潟県","","109,493","103,944","5,549","168,592","2,000,829","4,523,753","4,030,490"
"2013100000","2013年度","16000","富山県","","48,949","42,779","6,170","4,893","831,414","3,543,699","1,757,949"
"2013100000","2013年度","17000","石川県","","30,088","20,119","9,968","2,656","857,646","2,565,732","2,053,276"
"2013100000","2013年度","18000","福井県","","18,178","17,083","1,095","2,261","3,117,123","1,908,933","1,535,632"
"2013100000","2013年度","19000","山梨県","","16,651","15,865","786","5,992","494,686","2,002,051","1,471,874"
"2013100000","2013年度","20000","長野県","","83,242","82,191","1,051","3,739","1,349,302","5,193,612","3,578,122"
"2013100000","2013年度","21000","岐阜県","","58,280","56,034","2,246","8,656","1,241,395","5,030,616","3,406,016"
"2013100000","2013年度","22000","静岡県","","109,120","78,610","30,510","7,479","2,262,099","17,065,710","7,402,636"
"2013100000","2013年度","23000","愛知県","","98,418","94,286","4,132","6,506","5,695,994","44,608,562","17,580,558"
"2013100000","2013年度","24000","三重県","","72,562","49,289","23,274","9,128","1,026,816","11,044,695","3,451,537"
"2013100000","2013年度","25000","滋賀県","","22,785","21,230","1,555","1,431","658,934","6,962,562","2,138,051"
"2013100000","2013年度","26000","京都府","","27,538","24,963","2,576","4,385","1,158,269","4,545,796","5,091,582"
"2013100000","2013年度","27000","大阪府","","12,095","11,895","200","2,398","7,213,774","17,409,445","24,830,401"
"2013100000","2013年度","28000","兵庫県","","64,043","60,439","3,603","6,084","2,731,048","15,349,135","10,964,748"
"2013100000","2013年度","29000","奈良県","","8,438","8,381","56","4,057","466,818","1,994,180","1,763,536"
"2013100000","2013年度","30000","和歌山県","","30,982","26,148","4,834","3,698","519,419","3,073,349","1,312,906"
"2013100000","2013年度","31000","鳥取県","","36,920","23,177","13,742","859","291,948","689,805","934,953"
"2013100000","2013年度","32000","島根県","","43,318","30,726","12,592","3,047","507,177","1,046,216","1,015,818"
"2013100000","2013年度","33000","岡山県","","56,403","55,928","475","2,492","1,118,097","8,238,656","3,340,074"
"2013100000","2013年度","34000","広島県","","73,622","65,372","8,249","2,677","2,008,151","8,904,631","5,557,068"
"2013100000","2013年度","35000","山口県","","33,610","29,123","4,486","10,825","851,016","7,178,920","2,401,656"
"2013100000","2013年度","36000","徳島県","","29,705","24,740","4,965","2,571","352,649","1,700,379","1,281,785"
"2013100000","2013年度","37000","香川県","","50,792","45,016","5,776","4,123","704,607","2,441,606","1,818,295"
"2013100000","2013年度","38000","愛媛県","","69,448","34,635","34,813","2,615","792,172","4,389,067","2,340,340"
"2013100000","2013年度","39000","高知県","","45,358","28,216","17,142","18,904","391,638","547,038","1,113,520"
"2013100000","2013年度","40000","福岡県","","58,578","53,542","5,036","14,165","4,083,832","8,298,335","10,294,345"
"2013100000","2013年度","41000","佐賀県","","26,704","25,729","975","2,547","486,652","1,653,687","1,220,423"
"2013100000","2013年度","42000","長崎県","","94,040","49,656","44,384","10,444","715,880","1,767,762","2,038,817"
"2013100000","2013年度","43000","熊本県","","90,987","72,670","18,318","4,953","849,034","2,530,576","2,467,856"
"2013100000","2013年度","44000","大分県","","66,884","47,195","19,689","23,947","652,703","4,545,073","1,612,104"
"2013100000","2013年度","45000","宮崎県","","178,185","144,749","33,436","570","547,097","1,506,103","1,445,624"
"2013100000","2013年度","46000","鹿児島県","","244,275","171,517","72,759","33,406","871,589","1,833,836","2,171,486"
"2013100000","2013年度","47000","沖縄県","","20,451","X","X","8,132","752,664","659,762","1,797,329"
"2012100000","2012年度","01000","北海道","","***","***","***","***","***","***","9,894,725"
"2012100000","2012年度","02000","青森県","","***","***","***","***","***","***","2,074,075"
"2012100000","2012年度","03000","岩手県","","***","***","***","***","***","***","2,100,180"
"2012100000","2012年度","04000","宮城県","","***","***","***","***","***","***","4,766,686"
"2012100000","2012年度","05000","秋田県","","***","***","***","***","***","***","1,481,025"
"2012100000","2012年度","06000","山形県","","***","***","***","***","***","***","1,665,502"
"2012100000","2012年度","07000","福島県","","***","***","***","***","***","***","3,140,179"
"2012100000","2012年度","08000","茨城県","","***","***","***","***","***","***","5,480,440"
