表題：,都道府県・市区町村のすがた（社会・人口統計体系）
公開日：,2025年10月31日

***,***,***,***,/項目 コード,A1101,C1224,D310412
調査年 コード,調査年,地域 コード,地域,/項目,A1101_総人口【人】,C1224_企業所得（平成27年基準）【百万円】,D310412_貸付金（都道府県財政）【千円】,貸出金【億円】
2022100000,2022年度,24000,三重県,***,"1,742,000",***,***,476870
2022100000,2022年度,25000,滋賀県,***,"1,409,000",***,***,462036
2022100000,2022年度,26000,京都府,***,"2,550,000",***,***,823679
2022100000,2022年度,27000,大阪府,***,"8,782,000",***,***,5226807
2022100000,2022年度,28000,兵庫県,***,"5,402,000",***,***,1381072
2022100000,2022年度,29000,奈良県,***,"1,306,000",***,***,328040
2022100000,2022年度,30000,和歌山県,***,"903,000",***,***,222975
2022100000,2022年度,31000,鳥取県,***,"544,000",***,***,181868
2022100000,2022年度,32000,島根県,***,"658,000",***,***,167901
2022100000,2022年度,33000,岡山県,***,"1,862,000",***,***,733895
2022100000,2022年度,34000,広島県,***,"2,760,000",***,***,1340540
2022100000,2022年度,35000,山口県,***,"1,313,000",***,***,456988
2022100000,2022年度,36000,徳島県,***,"704,000",***,***,272311
2022100000,2022年度,37000,香川県,***,"934,000",***,***,372419
2022100000,2022年度,38000,愛媛県,***,"1,306,000",***,***,837034
2022100000,2022年度,39000,高知県,***,"676,000",***,***,199395
2022100000,2022年度,40000,福岡県,***,"5,116,000",***,***,2609927
2022100000,2022年度,41000,佐賀県,***,"801,000",***,***,172450
2022100000,2022年度,42000,長崎県,***,"1,283,000",***,***,356970
2022100000,2022年度,43000,熊本県,***,"1,718,000",***,***,579432
2022100000,2022年度,44000,大分県,***,"1,107,000",***,***,315279
2022100000,2022年度,45000,宮崎県,***,"1,052,000",***,***,331559
2022100000,2022年度,46000,鹿児島県,***,"1,563,000",***,***,492588
2022100000,2022年度,47000,沖縄県,***,"1,468,000",***,***,518971
2021100000,2021年度,1000,北海道,***,"5,183,000",***,"370,486,187",1358244
2021100000,2021年度,2000,青森県,***,"1,221,000",***,"59,339,041",333890
2021100000,2021年度,3000,岩手県,***,"1,196,000",***,"122,496,973",313442
2021100000,2021年度,4000,宮城県,***,"2,290,000",***,"103,231,191",870762
